"gene","p_value"
"ENSG00000119650",0.0152135667323399
"ENSG00000255690",0.015240460336851
"ENSG00000142949",0.0152790068879062
"ENSG00000286707",0.0153864843505854
"ENSG00000247317",0.0155141212070519
"ENSG00000126822",0.0155198445782662
"ENSG00000135547",0.015526864397029
"ENSG00000138336",0.0155500894611347
"ENSG00000139946",0.0155695421624558
"ENSG00000076108",0.015570227770416
"ENSG00000088881",0.0156539203126473
"ENSG00000101825",0.0156802498055291
"ENSG00000148341",0.0158427249428352
"ENSG00000143499",0.015876503004792
"ENSG00000185272",0.0158964555634225
"ENSG00000129038",0.0159281888261842
"ENSG00000180914",0.0160506667727987
"ENSG00000282936",0.016063558630033
"ENSG00000149212",0.0161047337690492
"ENSG00000174307",0.0161219922007287
"ENSG00000113361",0.0162459063931271
"ENSG00000155561",0.016275968215761
"ENSG00000196557",0.0164673106760405
"ENSG00000236609",0.0164805531178024
"ENSG00000205362",0.0165011113911351
"ENSG00000279495",0.0165289510604509
"ENSG00000267249",0.0165929992938237
"ENSG00000179772",0.0166956187592598
"ENSG00000196730",0.0167231283722293
"ENSG00000120457",0.0168011946239891
"ENSG00000062716",0.0168575929559293
"ENSG00000116985",0.0168614460356152
"ENSG00000095539",0.0169542108771273
"ENSG00000254221",0.0170204508909749
"ENSG00000225555",0.0170415931601402
"ENSG00000224094",0.0170494445426296
"ENSG00000068078",0.0170731472204505
"ENSG00000185567",0.0170854168589265
"ENSG00000132518",0.0171083170160028
"ENSG00000254389",0.0171694964997076
"ENSG00000113369",0.0172741695875131
"ENSG00000155893",0.0172777188694611
"ENSG00000112655",0.0173504240634945
"ENSG00000141441",0.0174357396990419
"ENSG00000235621",0.0174806872378436
"ENSG00000105655",0.0175639831262698
"ENSG00000086991",0.0176664050605006
"ENSG00000011376",0.0176807498003469
"ENSG00000154548",0.0177143449990201
"ENSG00000152518",0.0179455066004349
"ENSG00000237036",0.0181136149578108
"ENSG00000198843",0.0182018276809513
"ENSG00000129353",0.0182055354650863
"ENSG00000096696",0.0183244313236142
"ENSG00000165810",0.01847366247017
"ENSG00000278540",0.0184746175235967
"ENSG00000121742",0.0186318974817949
"ENSG00000010361",0.0187271038600034
"ENSG00000049323",0.0187830409083929
"ENSG00000157796",0.0187840491490292
"ENSG00000088367",0.0188156539024841
"ENSG00000100554",0.0188880553181921
"ENSG00000164751",0.0189599445080053
"ENSG00000149218",0.0189977878348141
"ENSG00000149948",0.0190709860801368
"ENSG00000016391",0.0191095860541248
"ENSG00000146950",0.0191327256005726
"ENSG00000236204",0.0192006976609898
"ENSG00000138829",0.0192991353065895
"ENSG00000104332",0.0194612873228418
"ENSG00000173212",0.0195546326176181
"ENSG00000180233",0.0195558334038372
"ENSG00000122417",0.0195652041968257
"ENSG00000130816",0.0197644482109562
"ENSG00000116133",0.0198112622115903
"ENSG00000172264",0.0198166770976885
"ENSG00000062598",0.0198822188582808
