"intercept","min_phred","min_length","effect_size_sd","aligner_salmon","trim_poly_g_X1","trim_poly_x_X1","norm_method_none","norm_method_RLE","norm_method_TMM","norm_method_TMMwsp","norm_method_upperquartile","min_phred_x_min_length","min_phred_x_aligner_salmon","min_phred_x_trim_poly_g_X1","min_phred_x_trim_poly_x_X1","min_phred_x_norm_method_none","min_phred_x_norm_method_RLE","min_phred_x_norm_method_TMM","min_phred_x_norm_method_TMMwsp","min_phred_x_norm_method_upperquartile","min_length_x_aligner_salmon","min_length_x_trim_poly_g_X1","min_length_x_trim_poly_x_X1","min_length_x_norm_method_none","min_length_x_norm_method_RLE","min_length_x_norm_method_TMM","min_length_x_norm_method_TMMwsp","min_length_x_norm_method_upperquartile","aligner_salmon_x_trim_poly_g_X1","aligner_salmon_x_trim_poly_x_X1","aligner_salmon_x_norm_method_none","aligner_salmon_x_norm_method_RLE","aligner_salmon_x_norm_method_TMM","aligner_salmon_x_norm_method_TMMwsp","aligner_salmon_x_norm_method_upperquartile","trim_poly_g_X1_x_trim_poly_x_X1","trim_poly_g_X1_x_norm_method_none","trim_poly_g_X1_x_norm_method_RLE","trim_poly_g_X1_x_norm_method_TMM","trim_poly_g_X1_x_norm_method_TMMwsp","trim_poly_g_X1_x_norm_method_upperquartile","trim_poly_x_X1_x_norm_method_none","trim_poly_x_X1_x_norm_method_RLE","trim_poly_x_X1_x_norm_method_TMM","trim_poly_x_X1_x_norm_method_TMMwsp","trim_poly_x_X1_x_norm_method_upperquartile"
1,30,35,0.975626026439828,0,1,1,0,0,0,1,0,1050,0,30,30,0,0,0,30,0,0,35,35,0,0,0,35,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,22,42,0.972337461778199,0,0,1,0,0,0,0,1,924,0,0,22,0,0,0,0,22,0,0,42,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,23,47,0.987187681840409,1,1,1,0,0,0,0,1,1081,23,23,23,0,0,0,0,23,47,47,47,0,0,0,0,47,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1,21,44,0.974718819037294,0,1,0,0,0,0,1,0,924,0,21,0,0,0,0,21,0,0,44,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,30,41,0.975116550288795,0,1,0,0,0,0,1,0,1230,0,30,0,0,0,0,30,0,0,41,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,30,42,0.974491757511956,0,1,0,0,1,0,0,0,1260,0,30,0,0,30,0,0,0,0,42,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
1,24,41,0.988697991802314,1,1,1,0,0,0,1,0,984,24,24,24,0,0,0,24,0,41,41,41,0,0,0,41,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
1,25,35,0.977265323149623,0,0,0,1,0,0,0,0,875,0,0,0,25,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,29,44,0.975625969379958,0,0,0,0,0,1,0,0,1276,0,0,0,0,0,29,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,27,47,0.987784138272619,1,1,1,0,0,0,0,1,1269,27,27,27,0,0,0,0,27,47,47,47,0,0,0,0,47,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1
1,27,38,0.989436226202021,1,1,0,0,0,1,0,0,1026,27,27,0,0,0,27,0,0,38,38,0,0,0,38,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
1,28,47,0.978928653334281,0,1,0,1,0,0,0,0,1316,0,28,0,28,0,0,0,0,0,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,29,36,0.993866771117677,1,1,0,1,0,0,0,0,1044,29,29,0,29,0,0,0,0,36,36,0,36,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,21,36,0.986252375802627,1,0,0,0,0,0,0,1,756,21,0,0,0,0,0,0,21,36,0,0,0,0,0,0,36,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,27,30,0.988732306394879,1,0,1,0,1,0,0,0,810,27,0,27,0,27,0,0,0,30,0,30,0,30,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,22,40,0.992018607058101,1,1,1,1,0,0,0,0,880,22,22,22,22,0,0,0,0,40,40,40,40,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
1,26,40,0.988509362264965,1,1,1,0,1,0,0,0,1040,26,26,26,0,26,0,0,0,40,40,40,0,40,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,26,48,0.98904286895777,1,0,0,0,0,0,1,0,1248,26,0,0,0,0,0,26,0,48,0,0,0,0,0,48,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1,29,48,0.986636300329461,1,0,1,0,0,0,0,1,1392,29,0,29,0,0,0,0,29,48,0,48,0,0,0,0,48,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,29,37,0.977665162832498,0,0,0,1,0,0,0,0,1073,0,0,0,29,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
