gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000172260,1,SRR31476644,29,47,1,1,19023435
ENSG00000285473,0,SRR31476644,29,47,1,1,19023435
ENSG00000237959,0,SRR31476644,29,47,1,1,19023435
ENSG00000231364,0,SRR31476644,29,47,1,1,19023435
ENSG00000234578,0,SRR31476644,29,47,1,1,19023435
ENSG00000137944,1438,SRR31476644,29,47,1,1,19023435
ENSG00000229505,6,SRR31476644,29,47,1,1,19023435
ENSG00000228187,17,SRR31476644,29,47,1,1,19023435
ENSG00000182183,0,SRR31476644,29,47,1,1,19023435
ENSG00000236407,0,SRR31476644,29,47,1,1,19023435
ENSG00000271949,158,SRR31476644,29,47,1,1,19023435
ENSG00000227062,0,SRR31476644,29,47,1,1,19023435
ENSG00000067334,3183,SRR31476644,29,47,1,1,19023435
ENSG00000235011,0,SRR31476644,29,47,1,1,19023435
ENSG00000226938,0,SRR31476644,29,47,1,1,19023435
ENSG00000213559,0,SRR31476644,29,47,1,1,19023435
ENSG00000287587,0,SRR31476644,29,47,1,1,19023435
ENSG00000142949,3164,SRR31476644,29,47,1,1,19023435
ENSG00000116133,18569,SRR31476644,29,47,1,1,19023435
ENSG00000232882,6,SRR31476644,29,47,1,1,19023435
ENSG00000171502,3,SRR31476644,29,47,1,1,19023435
ENSG00000116157,14,SRR31476644,29,47,1,1,19023435
ENSG00000143036,578,SRR31476644,29,47,1,1,19023435
ENSG00000230817,0,SRR31476644,29,47,1,1,19023435
ENSG00000065243,2826,SRR31476644,29,47,1,1,19023435
ENSG00000226759,0,SRR31476644,29,47,1,1,19023435
ENSG00000226960,0,SRR31476644,29,47,1,1,19023435
ENSG00000234080,577,SRR31476644,29,47,1,1,19023435
ENSG00000237899,0,SRR31476644,29,47,1,1,19023435
ENSG00000227290,0,SRR31476644,29,47,1,1,19023435
ENSG00000282898,0,SRR31476644,29,47,1,1,19023435
ENSG00000285409,0,SRR31476644,29,47,1,1,19023435
ENSG00000231090,0,SRR31476644,29,47,1,1,19023435
ENSG00000117528,2461,SRR31476644,29,47,1,1,19023435
ENSG00000271723,647,SRR31476644,29,47,1,1,19023435
ENSG00000172339,236,SRR31476644,29,47,1,1,19023435
ENSG00000036549,2627,SRR31476644,29,47,1,1,19023435
ENSG00000287724,670,SRR31476644,29,47,1,1,19023435
ENSG00000058799,338,SRR31476644,29,47,1,1,19023435
ENSG00000225191,29,SRR31476644,29,47,1,1,19023435
ENSG00000287870,0,SRR31476644,29,47,1,1,19023435
ENSG00000232048,0,SRR31476644,29,47,1,1,19023435
ENSG00000232857,0,SRR31476644,29,47,1,1,19023435
ENSG00000273637,679,SRR31476644,29,47,1,1,19023435
ENSG00000203985,1,SRR31476644,29,47,1,1,19023435
ENSG00000228838,11,SRR31476644,29,47,1,1,19023435
ENSG00000283761,1176,SRR31476644,29,47,1,1,19023435
ENSG00000189433,2,SRR31476644,29,47,1,1,19023435
ENSG00000230759,0,SRR31476644,29,47,1,1,19023435
ENSG00000179178,514,SRR31476644,29,47,1,1,19023435
ENSG00000142700,1,SRR31476644,29,47,1,1,19023435
ENSG00000285525,0,SRR31476644,29,47,1,1,19023435
ENSG00000236098,7,SRR31476644,29,47,1,1,19023435
ENSG00000233514,311,SRR31476644,29,47,1,1,19023435
ENSG00000127124,49,SRR31476644,29,47,1,1,19023435
ENSG00000266993,372,SRR31476644,29,47,1,1,19023435
ENSG00000223675,0,SRR31476644,29,47,1,1,19023435
ENSG00000229316,0,SRR31476644,29,47,1,1,19023435
ENSG00000287406,0,SRR31476644,29,47,1,1,19023435
ENSG00000225767,0,SRR31476644,29,47,1,1,19023435
ENSG00000234099,0,SRR31476644,29,47,1,1,19023435
ENSG00000137936,512,SRR31476644,29,47,1,1,19023435
ENSG00000235308,0,SRR31476644,29,47,1,1,19023435
ENSG00000232752,0,SRR31476644,29,47,1,1,19023435
ENSG00000235829,0,SRR31476644,29,47,1,1,19023435
ENSG00000143032,0,SRR31476644,29,47,1,1,19023435
ENSG00000226745,0,SRR31476644,29,47,1,1,19023435
ENSG00000280040,0,SRR31476644,29,47,1,1,19023435
ENSG00000117519,5577,SRR31476644,29,47,1,1,19023435
ENSG00000270507,0,SRR31476644,29,47,1,1,19023435
ENSG00000238037,0,SRR31476644,29,47,1,1,19023435
ENSG00000215869,8,SRR31476644,29,47,1,1,19023435
ENSG00000134215,0,SRR31476644,29,47,1,1,19023435
ENSG00000227935,0,SRR31476644,29,47,1,1,19023435
ENSG00000228502,85485,SRR31476644,29,47,1,1,19023435
ENSG00000236268,0,SRR31476644,29,47,1,1,19023435
ENSG00000271277,0,SRR31476644,29,47,1,1,19023435
ENSG00000236888,88,SRR31476644,29,47,1,1,19023435
ENSG00000279778,0,SRR31476644,29,47,1,1,19023435
ENSG00000230828,0,SRR31476644,29,47,1,1,19023435
ENSG00000188641,13,SRR31476644,29,47,1,1,19023435
ENSG00000152078,336,SRR31476644,29,47,1,1,19023435
ENSG00000233359,0,SRR31476644,29,47,1,1,19023435
