gene_id,SRR31476642,SRR31476643,SRR31476644,SRR31476645,SRR31476646,SRR31476647,SRR31476648,SRR31476649,SRR31476650
ENSG00000011405,2371,2231,1934,2095,2764,2564,2484,3191,2815
ENSG00000011422,151,216,203,324,922,898,1093,196,188
ENSG00000011426,2862,4505,3663,4205,9811,7832,8417,3986,3443
ENSG00000011451,1481,1273,1307,1336,881,919,858,1603,1371
ENSG00000011454,1639,1165,1148,1420,1347,1344,1314,1828,1796
ENSG00000011465,0,0,0,1,1,1,0,2,0
ENSG00000011478,309,263,274,342,211,218,250,260,296
ENSG00000011485,1098,1135,1148,1505,1345,1294,1430,1264,1211
ENSG00000011523,312,258,260,295,179,230,263,295,322
ENSG00000011566,3545,3020,2825,3280,2960,2804,2994,4115,3804
ENSG00000011590,2,1,1,2,1,2,1,0,0
ENSG00000011600,0,0,0,0,0,0,1,0,0
ENSG00000011638,80,58,61,75,347,298,376,106,68
ENSG00000011677,3,3,3,1,5,2,2,0,4
ENSG00000012048,714,402,354,387,695,742,594,1039,926
ENSG00000012061,1471,1080,1132,1369,1081,985,1192,1692,1625
ENSG00000012124,2,9,13,13,9,18,11,2,8
ENSG00000012171,706,621,694,826,297,318,363,818,708
ENSG00000012174,1412,1376,1163,1454,1049,984,1005,1694,1804
ENSG00000012211,711,1006,951,1054,944,973,1114,744,668
ENSG00000012223,0,4,2,3,11,20,21,4,0
ENSG00000012232,1184,1018,769,1141,1546,1346,1338,1297,1433
ENSG00000012504,5,1,3,3,2,8,3,3,5
ENSG00000012660,2291,1983,1664,2208,2671,2599,2913,2365,2491
ENSG00000012779,0,1,0,0,0,0,1,0,0
ENSG00000012817,0,0,0,0,0,0,0,0,0
ENSG00000012822,1016,524,492,492,803,915,861,1207,1049
ENSG00000012963,657,627,644,803,1004,1055,1122,727,686
ENSG00000012983,1490,1536,1329,1471,1178,1192,1249,1710,1607
ENSG00000013016,113,264,270,265,126,124,112,105,137
ENSG00000013275,4223,3002,2944,3609,3800,3577,3851,4002,4394
ENSG00000013288,404,353,370,441,336,261,248,472,440
ENSG00000013293,0,0,1,0,1,0,3,0,1
ENSG00000013297,456,10,3,7,1773,1728,2072,491,490
ENSG00000013306,3484,3663,3368,4637,2747,2451,2981,3687,3813
ENSG00000013364,2394,1794,1661,2060,3094,2309,2959,2836,2836
ENSG00000013374,2666,2180,2321,2569,2024,1955,2094,2839,2852
ENSG00000013375,2153,1306,1130,1126,2510,2092,2150,2852,2720
ENSG00000013392,415,257,206,224,317,283,345,505,508
ENSG00000013441,1863,1336,1102,1312,1102,763,1030,2414,2028
ENSG00000013503,578,694,733,754,315,307,300,631,684
ENSG00000013523,466,496,416,605,389,421,394,526,487
ENSG00000013561,3039,2920,2900,3547,2310,2137,2336,3562,4050
ENSG00000013563,502,618,583,723,716,647,724,587,574
ENSG00000013573,650,678,646,730,547,458,570,878,687
ENSG00000013583,543,464,437,624,588,537,670,547,702
ENSG00000013588,857,648,605,762,1815,1516,1937,927,869
ENSG00000013619,16,22,28,29,79,59,51,11,17
ENSG00000013725,0,2,6,3,3,1,3,0,0
ENSG00000013810,987,1080,1218,1455,1477,1243,1428,1036,971
ENSG00000014123,1598,1018,910,996,1044,970,907,2186,1925
ENSG00000014138,662,595,600,735,673,552,637,729,659
ENSG00000014164,832,661,757,750,824,678,723,857,826
