gene_id,counts,sample,quality,length,geneFlag,xFlag,jobFlag
ENSG00000236111,588,SRR31476643,22,35,0,0,19023445
ENSG00000066056,139,SRR31476643,22,35,0,0,19023445
ENSG00000214114,904,SRR31476643,22,35,0,0,19023445
ENSG00000116544,11,SRR31476643,22,35,0,0,19023445
ENSG00000231900,0,SRR31476643,22,35,0,0,19023445
ENSG00000236723,264,SRR31476643,22,35,0,0,19023445
ENSG00000232467,0,SRR31476643,22,35,0,0,19023445
ENSG00000117016,62,SRR31476643,22,35,0,0,19023445
ENSG00000169213,48,SRR31476643,22,35,0,0,19023445
ENSG00000163866,636,SRR31476643,22,35,0,0,19023445
ENSG00000237130,10,SRR31476643,22,35,0,0,19023445
ENSG00000232335,32,SRR31476643,22,35,0,0,19023445
ENSG00000260971,5,SRR31476643,22,35,0,0,19023445
ENSG00000284696,0,SRR31476643,22,35,0,0,19023445
ENSG00000238242,0,SRR31476643,22,35,0,0,19023445
ENSG00000285839,2600,SRR31476643,22,35,0,0,19023445
ENSG00000232762,0,SRR31476643,22,35,0,0,19023445
ENSG00000162384,567,SRR31476643,22,35,0,0,19023445
ENSG00000162391,61,SRR31476643,22,35,0,0,19023445
ENSG00000117859,2898,SRR31476643,22,35,0,0,19023445
ENSG00000228121,135,SRR31476643,22,35,0,0,19023445
ENSG00000253313,363,SRR31476643,22,35,0,0,19023445
ENSG00000162396,266,SRR31476643,22,35,0,0,19023445
ENSG00000284686,146,SRR31476643,22,35,0,0,19023445
ENSG00000162378,829,SRR31476643,22,35,0,0,19023445
ENSG00000233079,0,SRR31476643,22,35,0,0,19023445
ENSG00000259818,1,SRR31476643,22,35,0,0,19023445
ENSG00000229444,0,SRR31476643,22,35,0,0,19023445
ENSG00000240563,1,SRR31476643,22,35,0,0,19023445
ENSG00000234318,0,SRR31476643,22,35,0,0,19023445
ENSG00000284773,13,SRR31476643,22,35,0,0,19023445
ENSG00000234481,0,SRR31476643,22,35,0,0,19023445
ENSG00000117862,2750,SRR31476643,22,35,0,0,19023445
ENSG00000235612,0,SRR31476643,22,35,0,0,19023445
ENSG00000228369,0,SRR31476643,22,35,0,0,19023445
ENSG00000227485,0,SRR31476643,22,35,0,0,19023445
ENSG00000224609,10,SRR31476643,22,35,0,0,19023445
ENSG00000235545,1,SRR31476643,22,35,0,0,19023445
ENSG00000236646,2,SRR31476643,22,35,0,0,19023445
ENSG00000232198,0,SRR31476643,22,35,0,0,19023445
ENSG00000238063,0,SRR31476643,22,35,0,0,19023445
ENSG00000227104,0,SRR31476643,22,35,0,0,19023445
ENSG00000243725,692,SRR31476643,22,35,0,0,19023445
ENSG00000171872,0,SRR31476643,22,35,0,0,19023445
ENSG00000162407,686,SRR31476643,22,35,0,0,19023445
ENSG00000285079,0,SRR31476643,22,35,0,0,19023445
ENSG00000163877,301,SRR31476643,22,35,0,0,19023445
ENSG00000228929,2250,SRR31476643,22,35,0,0,19023445
ENSG00000224570,0,SRR31476643,22,35,0,0,19023445
ENSG00000224980,0,SRR31476643,22,35,0,0,19023445
ENSG00000278967,0,SRR31476643,22,35,0,0,19023445
ENSG00000157184,572,SRR31476643,22,35,0,0,19023445
ENSG00000198815,1338,SRR31476643,22,35,0,0,19023445
ENSG00000134744,546,SRR31476643,22,35,0,0,19023445
ENSG00000233910,0,SRR31476643,22,35,0,0,19023445
ENSG00000287703,0,SRR31476643,22,35,0,0,19023445
ENSG00000283039,0,SRR31476643,22,35,0,0,19023445
ENSG00000229032,0,SRR31476643,22,35,0,0,19023445
ENSG00000229294,0,SRR31476643,22,35,0,0,19023445
ENSG00000234088,0,SRR31476643,22,35,0,0,19023445
ENSG00000236973,1,SRR31476643,22,35,0,0,19023445
ENSG00000277397,1,SRR31476643,22,35,0,0,19023445
ENSG00000235446,0,SRR31476643,22,35,0,0,19023445
ENSG00000162385,874,SRR31476643,22,35,0,0,19023445
ENSG00000234264,5,SRR31476643,22,35,0,0,19023445
ENSG00000223883,0,SRR31476643,22,35,0,0,19023445
ENSG00000237227,0,SRR31476643,22,35,0,0,19023445
ENSG00000275350,0,SRR31476643,22,35,0,0,19023445
ENSG00000116652,26,SRR31476643,22,35,0,0,19023445
ENSG00000123080,120,SRR31476643,22,35,0,0,19023445
ENSG00000285778,1,SRR31476643,22,35,0,0,19023445
ENSG00000233407,0,SRR31476643,22,35,0,0,19023445
ENSG00000225675,0,SRR31476643,22,35,0,0,19023445
ENSG00000237622,0,SRR31476643,22,35,0,0,19023445
ENSG00000162598,0,SRR31476643,22,35,0,0,19023445
ENSG00000280317,0,SRR31476643,22,35,0,0,19023445
ENSG00000162415,2,SRR31476643,22,35,0,0,19023445
ENSG00000162600,339,SRR31476643,22,35,0,0,19023445
ENSG00000116704,455,SRR31476643,22,35,0,0,19023445
ENSG00000157193,585,SRR31476643,22,35,0,0,19023445
ENSG00000116205,223,SRR31476643,22,35,0,0,19023445
ENSG00000198841,213,SRR31476643,22,35,0,0,19023445
ENSG00000116212,1048,SRR31476643,22,35,0,0,19023445
ENSG00000234204,0,SRR31476643,22,35,0,0,19023445
ENSG00000233099,0,SRR31476643,22,35,0,0,19023445
ENSG00000233994,485,SRR31476643,22,35,0,0,19023445
ENSG00000233973,0,SRR31476643,22,35,0,0,19023445
ENSG00000132854,22,SRR31476643,22,35,0,0,19023445
ENSG00000227556,1,SRR31476643,22,35,0,0,19023445
ENSG00000162607,3737,SRR31476643,22,35,0,0,19023445
ENSG00000285954,0,SRR31476643,22,35,0,0,19023445
ENSG00000233333,0,SRR31476643,22,35,0,0,19023445
ENSG00000154027,79,SRR31476643,22,35,0,0,19023445
ENSG00000234108,0,SRR31476643,22,35,0,0,19023445
ENSG00000232676,113,SRR31476643,22,35,0,0,19023445
ENSG00000225167,0,SRR31476643,22,35,0,0,19023445
ENSG00000213579,41,SRR31476643,22,35,0,0,19023445
ENSG00000137960,5,SRR31476643,22,35,0,0,19023445
ENSG00000237852,1,SRR31476643,22,35,0,0,19023445
ENSG00000116745,0,SRR31476643,22,35,0,0,19023445
ENSG00000132855,2,SRR31476643,22,35,0,0,19023445
ENSG00000285407,6,SRR31476643,22,35,0,0,19023445
ENSG00000270549,0,SRR31476643,22,35,0,0,19023445
ENSG00000237163,0,SRR31476643,22,35,0,0,19023445
ENSG00000229636,0,SRR31476643,22,35,0,0,19023445
ENSG00000116675,459,SRR31476643,22,35,0,0,19023445
ENSG00000162433,1571,SRR31476643,22,35,0,0,19023445
ENSG00000213625,3136,SRR31476643,22,35,0,0,19023445
ENSG00000227207,564,SRR31476643,22,35,0,0,19023445
ENSG00000227016,0,SRR31476643,22,35,0,0,19023445
ENSG00000233664,104,SRR31476643,22,35,0,0,19023445
ENSG00000158966,616,SRR31476643,22,35,0,0,19023445
ENSG00000213703,0,SRR31476643,22,35,0,0,19023445
ENSG00000203965,204,SRR31476643,22,35,0,0,19023445
ENSG00000223479,0,SRR31476643,22,35,0,0,19023445
ENSG00000233674,0,SRR31476643,22,35,0,0,19023445
ENSG00000153898,0,SRR31476643,22,35,0,0,19023445
ENSG00000117069,1,SRR31476643,22,35,0,0,19023445
ENSG00000125703,553,SRR31476643,22,35,0,0,19023445
ENSG00000285041,1,SRR31476643,22,35,0,0,19023445
ENSG00000285808,0,SRR31476643,22,35,0,0,19023445
ENSG00000229440,0,SRR31476643,22,35,0,0,19023445
ENSG00000234144,0,SRR31476643,22,35,0,0,19023445
ENSG00000277670,0,SRR31476643,22,35,0,0,19023445
ENSG00000227466,0,SRR31476643,22,35,0,0,19023445
ENSG00000230498,0,SRR31476643,22,35,0,0,19023445
ENSG00000285782,2,SRR31476643,22,35,0,0,19023445
ENSG00000162618,0,SRR31476643,22,35,0,0,19023445
ENSG00000224493,0,SRR31476643,22,35,0,0,19023445
ENSG00000131233,3,SRR31476643,22,35,0,0,19023445
ENSG00000272371,0,SRR31476643,22,35,0,0,19023445
ENSG00000287647,2,SRR31476643,22,35,0,0,19023445
ENSG00000229225,0,SRR31476643,22,35,0,0,19023445
ENSG00000230863,78,SRR31476643,22,35,0,0,19023445
ENSG00000225598,0,SRR31476643,22,35,0,0,19023445
ENSG00000286455,0,SRR31476643,22,35,0,0,19023445
ENSG00000225087,0,SRR31476643,22,35,0,0,19023445
ENSG00000280378,4,SRR31476643,22,35,0,0,19023445
ENSG00000230053,0,SRR31476643,22,35,0,0,19023445
ENSG00000137941,95,SRR31476643,22,35,0,0,19023445
ENSG00000224326,0,SRR31476643,22,35,0,0,19023445
ENSG00000286548,1,SRR31476643,22,35,0,0,19023445
ENSG00000066135,1833,SRR31476643,22,35,0,0,19023445
ENSG00000272094,2,SRR31476643,22,35,0,0,19023445
ENSG00000228853,0,SRR31476643,22,35,0,0,19023445
ENSG00000232453,8,SRR31476643,22,35,0,0,19023445
ENSG00000260386,0,SRR31476643,22,35,0,0,19023445
ENSG00000284895,0,SRR31476643,22,35,0,0,19023445
ENSG00000117174,1474,SRR31476643,22,35,0,0,19023445
ENSG00000237413,0,SRR31476643,22,35,0,0,19023445
ENSG00000184313,6,SRR31476643,22,35,0,0,19023445
ENSG00000284645,0,SRR31476643,22,35,0,0,19023445
ENSG00000225446,0,SRR31476643,22,35,0,0,19023445
ENSG00000288543,0,SRR31476643,22,35,0,0,19023445
ENSG00000122420,0,SRR31476643,22,35,0,0,19023445
ENSG00000284240,2,SRR31476643,22,35,0,0,19023445
ENSG00000236290,0,SRR31476643,22,35,0,0,19023445
ENSG00000143013,2615,SRR31476643,22,35,0,0,19023445
ENSG00000226084,16762,SRR31476643,22,35,0,0,19023445
ENSG00000134748,1157,SRR31476643,22,35,0,0,19023445
ENSG00000142892,2439,SRR31476643,22,35,0,0,19023445
ENSG00000219102,43,SRR31476643,22,35,0,0,19023445
ENSG00000287743,0,SRR31476643,22,35,0,0,19023445
ENSG00000229332,0,SRR31476643,22,35,0,0,19023445
ENSG00000227937,0,SRR31476643,22,35,0,0,19023445
ENSG00000229752,504,SRR31476643,22,35,0,0,19023445
ENSG00000237505,5,SRR31476643,22,35,0,0,19023445
ENSG00000285462,0,SRR31476643,22,35,0,0,19023445
ENSG00000233216,1,SRR31476643,22,35,0,0,19023445
ENSG00000197273,0,SRR31476643,22,35,0,0,19023445
ENSG00000226804,0,SRR31476643,22,35,0,0,19023445
ENSG00000230728,0,SRR31476643,22,35,0,0,19023445
ENSG00000232846,0,SRR31476643,22,35,0,0,19023445
ENSG00000230787,138,SRR31476643,22,35,0,0,19023445
ENSG00000116641,1474,SRR31476643,22,35,0,0,19023445
